date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:54	6375/6375	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2005%20Aug%202025%2015:26:54%20GMT	https://3d-impressao.webflow.io/robots.txt		(from )
16:26:54	59177/59177	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Aug%202025%2015:23:04%20GMT	https://3d-impressao.webflow.io/	C:/My%20Web%20Sites/Procrea.3dprinting/3d-impressao.webflow.io/index.html	(from )
16:26:54	308363/308363	---MCZ	200	added ('OK')	text/css	etag:W/%22a250324c3341507c7132e5ff71ffd492%22	https://cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/css/3d-impressao.webflow.shared.a250324c3.css	C:/My%20Web%20Sites/Procrea.3dprinting/cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/css/3d-impressao.webflow.shared.a250324c3.css	(from https://3d-impressao.webflow.io/)
16:26:55	13188/13188	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Procrea.3dprinting/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://3d-impressao.webflow.io/)
16:26:55	4807/4807	---M--	200	added ('OK')	image/png	etag:%224ff20fa6aa65e68a21f28fefb0a2c3e9%22	https://cdn.prod.website-files.com/img/webclip.png	C:/My%20Web%20Sites/Procrea.3dprinting/cdn.prod.website-files.com/img/webclip.png	(from https://3d-impressao.webflow.io/)
16:26:55	300929/300929	---M--	200	added ('OK')	image/png	etag:%225e9ff94041e527f68859c42184c302b8%22	https://cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/683f75e614b2450417df304e_ChatGPT%20Image%203%20%d0%b8%d1%8e%d0%bd.%202025%20%d0%b3.%2C%2023_20_42.png	C:/My%20Web%20Sites/Procrea.3dprinting/cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/683f75e614b2450417df304e_ChatGPT%20Image%203%20%d0%b8%d1%8e%d0%bd.%202025%20%d0%b3.,%2023_20_42.png	(from https://3d-impressao.webflow.io/)
16:26:55	753747/753747	---M--	200	added ('OK')	image/jpeg	etag:%22614c49cb08fe2c2a5b4defdbe8c13313%22	https://cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/6839e90cd30a5f5224090f8d_pexels-bertellifotografia-20877036.jpg	C:/My%20Web%20Sites/Procrea.3dprinting/cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/6839e90cd30a5f5224090f8d_pexels-bertellifotografia-20877036.jpg	(from https://3d-impressao.webflow.io/)
16:26:56	1935259/1935259	---M--	200	added ('OK')	image/jpeg	etag:%22a37bef6250ab7e487b4643794169cf57%22	https://cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/6839eb6f88c8cddcea2d5d69_tom-claes-13g9FZqVvNY-unsplash.jpg	C:/My%20Web%20Sites/Procrea.3dprinting/cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/6839eb6f88c8cddcea2d5d69_tom-claes-13g9FZqVvNY-unsplash.jpg	(from https://3d-impressao.webflow.io/)
16:26:56	1152801/1152801	---M--	200	added ('OK')	image/jpeg	etag:%223856397100a132280ef92e07d0b972eb%22	https://cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/6839e972a8cb17adf802a27a_pexels-googledeepmind-17483848.jpg	C:/My%20Web%20Sites/Procrea.3dprinting/cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/6839e972a8cb17adf802a27a_pexels-googledeepmind-17483848.jpg	(from https://3d-impressao.webflow.io/)
16:26:56	346030/346030	---M--	200	added ('OK')	image/jpeg	etag:%2205bf0b928ba91045c79bab1c6411a447%22	https://cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/6839e9e83a81fe722fd186b6_pexels-jakubzerdzicki-31336838.jpg	C:/My%20Web%20Sites/Procrea.3dprinting/cdn.prod.website-files.com/6836d3220e01e03c6cde35b9/6839e9e83a81fe722fd186b6_pexels-jakubzerdzicki-31336838.jpg	(from https://3d-impressao.webflow.io/)
